Name,CodeName,OverrideNameTextID,NamePrefixID,OverridePartnerSkillTextID,IsPal,Tribe,BPClass,ZukanIndex,UniqueOnlyB,Size,Rarity,ElementType1,ElementType2,GenusCategory,Organization,weapon,WeaponEquip,HP,MeleeAttack,ShotAttack,Defense,Support,CraftSpeed,EnemyReceiveDamageRate,CaptureRateCorrect,ExpRatio,Price,AIResponse,AISightResponse,SlowWalkSpeed,WalkSpeed,RunSpeed,RideSprintSpeed,TransportSpeed,IsBoss,IsTowerBoss,BattleBGM,IgnoreLeanBack,IgnoreBlowAway,MaxFullStomach,FullStomachDecreaseRate,FoodAmount,ViewingDistance,ViewingAngle,HearingRate,NooseTrap,Nocturnal,BiologicalGrade,Predator,Edible,Stamina,MaleProbability,CombiRank,WorkSuitability_EmitFlame,WorkSuitability_Watering,WorkSuitability_Seeding,WorkSuitability_GenerateElectricity,WorkSuitability_Handcraft,WorkSuitability_Collection,WorkSuitability_Deforest,WorkSuitability_Mining,WorkSuitability_OilExtraction,WorkSuitability_ProductMedicine,WorkSuitability_Cool,WorkSuitability_Transport,WorkSuitability_MonsterFarm,PassiveSkill1,PassiveSkill2,PassiveSkill3,PassiveSkill4,IndexOrder,UniqueOnly,Image,ZukanIndexSuffix,SkillLevelUnlock,SkillUnlockItem,SkillUnlock_,ActiveSkill,ActiveSkillBonus0,ActiveSkillBonus1,ActiveSkillBonus2,ActiveSkillBonus3,ActiveSkillBonus4,Mount,Mount Type,Passive0aCondition,Passive0a,Passive1a,Passive2a,Passive3a,Passive4a,Passive0bCondition,Passive0b,Passive1b,Passive2b,Passive3b,Passive4b,Passive0cCondition,Passive0c,Passive1c,Passive2c,Passive3c,Passive4c
Anubis,Anubis,None,None,None,TRUE,EPalTribeID::Anubis,Anubis,100,,EPalSizeType::M,10,EPalElementType::Earth,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,120,130,130,100,100,100,1,1,1,4960,Warlike,None,80,160,800,1000,480,FALSE,FALSE,EPalBattleBGMType::Cool,FALSE,FALSE,400,1,6,25,90,1,FALSE,FALSE,5,TRUE,TRUE,100,50,570,0,0,0,0,4,0,0,3,0,0,0,2,0,ElementBoost_Earth_2_PAL,None,None,None,1,FALSE,,,,,,,,,,,,,,together,GiveAEarth,GiveAEarth,GiveAEarth,GiveAEarth,GiveAEarth,,,,,,,,GiveElement_TrainerATK_UP_PartnerSkill_1,GiveElement_TrainerATK_UP_PartnerSkill_2,GiveElement_TrainerATK_UP_PartnerSkill_3,GiveElement_TrainerATK_UP_PartnerSkill_4,GiveElement_TrainerATK_UP_PartnerSkill_5
Incineram,Baphomet,None,None,None,TRUE,EPalTribeID::Baphomet,Baphomet,40,,EPalSizeType::M,4,EPalElementType::Fire,EPalElementType::Dark,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,95,150,100,85,100,100,1,1,1,4780,Warlike,None,80,160,700,960,320,FALSE,FALSE,EPalBattleBGMType::Strong,FALSE,FALSE,300,1,4,25,90,1,FALSE,TRUE,4,TRUE,TRUE,100,50,590,1,0,0,0,2,0,0,1,0,0,0,2,0,None,None,None,None,2,FALSE,,,,,,Unique_Baphomet_SwallowKite,1.1,1.3,1.6,2,2.5,,,,,,,,,,,,,,,,,,,,
Incineram Noct,Baphomet_Dark,None,None,None,TRUE,EPalTribeID::Baphomet_Dark,Baphomet_Dark,40,B,EPalSizeType::M,5,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,95,150,105,85,100,100,1,1,1,4870,Warlike,None,80,160,700,960,320,FALSE,FALSE,EPalBattleBGMType::Strong,FALSE,FALSE,300,1,4,25,90,1,FALSE,TRUE,4,TRUE,TRUE,100,50,580,0,0,0,0,2,0,0,1,0,0,0,2,0,None,None,None,None,3,TRUE,,B,,,,Unique_Baphomet_SwallowKite,1.1,1.3,1.6,2,2.5,,,,,,,,,,,,,,,,,,,,
Mau,Bastet,None,None,None,TRUE,EPalTribeID::Bastet,Bastet,24,,EPalSizeType::XS,1,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,60,70,100,100,1,1,1,1000,Escape_to_Battle,None,52,105,475,550,317,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,100,1,1,25,90,1,TRUE,TRUE,0,FALSE,TRUE,100,50,1480,0,0,0,0,0,0,0,0,0,0,0,0,1,None,None,None,None,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,CharacterSpawnItem_Money_1,CharacterSpawnItem_Money_2,CharacterSpawnItem_Money_3,CharacterSpawnItem_Money_4,CharacterSpawnItem_Money_5
Mau Cryst,Bastet_Ice,None,None,None,TRUE,EPalTribeID::Bastet_Ice,Bastet_Ice,24,B,EPalSizeType::XS,2,EPalElementType::Ice,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,65,70,100,100,1,1,1,1010,Escape_to_Battle,None,52,105,475,550,317,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,100,1,1,25,90,1,TRUE,FALSE,0,FALSE,TRUE,100,50,1440,0,0,0,0,0,0,0,0,0,0,1,0,1,None,None,None,None,5,TRUE,,B,,,,,,,,,,,,,,,,,,,,,,,,,CharacterSpawnItem_Money_1,CharacterSpawnItem_Money_2,CharacterSpawnItem_Money_3,CharacterSpawnItem_Money_4,CharacterSpawnItem_Money_5
Rushoar,Boar,None,None,None,TRUE,EPalTribeID::Boar,Boar,20,,EPalSizeType::S,1,EPalElementType::Earth,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,80,100,70,70,100,100,1.1,1,1,1680,Warlike,None,70,150,450,700,300,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,1,TRUE,TRUE,100,50,1130,0,0,0,0,0,0,0,1,0,0,0,0,0,None,None,None,None,6,FALSE,,,6,"""SkillUnlock_Boar",Saddle,,,,,,,TRUE,Ground,,,,,,,,,,,,,together,Mining_up2_Otomo_only,Mining_up3_Otomo_only,Mining_up4_Otomo_only,Mining_up5_Otomo_only,Mining_up6_Otomo_only
Lifmunk,Carbunclo,None,None,None,TRUE,EPalTribeID::Carbunclo,Carbunclo,4,,EPalSizeType::XS,1,EPalElementType::Leaf,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,75,70,70,70,100,100,1,0.9,1,1010,Escape,None,20,40,400,550,250,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,100,1,1,25,90,1,TRUE,FALSE,0,FALSE,TRUE,100,50,1430,0,0,1,0,1,1,1,0,0,1,0,0,0,None,None,None,None,7,FALSE,,,11,SkillUnlock_Carbunclo,SkillUnlock_SMG,OnHeadShoot,10,11,13,16,20,,,,,,,,,,,,,,,,,,,,
Tocotoco,ColorfulBird,None,None,None,TRUE,EPalTribeID::ColorfulBird,ColorfulBird,27,,EPalSizeType::S,1,EPalElementType::Normal,EPalElementType::None,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,60,80,75,70,70,100,1,1,1,1090,Warlike,None,30,60,300,550,170,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,150,1,2,25,90,1,FALSE,FALSE,0,TRUE,TRUE,100,50,1340,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None,8,FALSE,,,18,SkillUnlock_ColorfulBird,,Launcher,100,110,130,160,200,,,,,,,,,,,,,,,,,,,,
Eikthyrdeer,Deer,None,None,None,TRUE,EPalTribeID::Deer,Deer,37,,EPalSizeType::L,4,EPalElementType::Normal,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,95,70,80,80,100,100,1,1,1,2620,Escape_to_Battle,None,80,120,700,900,390,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,920,0,0,0,0,0,0,2,0,0,0,0,0,0,None,None,None,None,9,FALSE,,,12,SkillUnlock_Deer,Saddle,,,,,,,TRUE,Ground,,,,,,,,,,,,,together,Logging_up2_Otomo_only,Logging_up3_Otomo_only,Logging_up4_Otomo_only,Logging_up5_Otomo_only,Logging_up6_Otomo_only
Eikthyrdeer Terra,Deer_Ground,None,None,None,TRUE,EPalTribeID::Deer_Ground,Deer_Ground,37,B,EPalSizeType::L,6,EPalElementType::Earth,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,95,70,80,80,100,100,1,1,1,2680,Escape_to_Battle,None,80,120,700,900,390,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,900,0,0,0,0,0,0,2,0,0,0,0,0,0,None,None,None,None,10,TRUE,,B,25,SkillUnlock_Deer_Ground,Saddle,,,,,,,TRUE,Ground,,,,,,,,,,,,,together,Logging_up2_Otomo_only,Logging_up3_Otomo_only,Logging_up4_Otomo_only,Logging_up5_Otomo_only,Logging_up6_Otomo_only
